point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,象山方言志
XS01,象山丹城,太湖片-甬江小片,,,歌,T,多,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,拖,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,他,a,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,驼,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,驮,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,陀,,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,鸵,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,沱,,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,舵,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,大,a/o,文读/～人,
XS01,象山丹城,太湖片-甬江小片,,,歌,T,驮,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,N,挪,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,N,哪,a,,
XS01,象山丹城,太湖片-甬江小片,,,歌,N,那,a,,
XS01,象山丹城,太湖片-甬江小片,,,歌,L,罗,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,L,锣,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,L,箩,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,L,萝,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,L,逻,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,TS,左,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,TS,佐,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,TS,搓,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,TS,娑,,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,歌,u,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,哥,u,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,柯,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,个,u,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,轲,,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,可,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,蛾,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,鹅,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,俄,,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,娥,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,我,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,K,饿,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,Ø,荷,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,Ø,河,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,Ø,何,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,Ø,荷,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,Ø,贺,o,,
XS01,象山丹城,太湖片-甬江小片,,,歌,Ø,阿,,,
XS01,象山丹城,太湖片-甬江小片,,,歌,Ø,屙,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,茄,ia,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,波,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,菠,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,跛,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,簸,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,簸,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,播,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,颇,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,坡,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,玻,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,破,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,婆,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,P,薄,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,M,魔,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,M,磨,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,M,摩,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,M,馍,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,M,蘑,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,M,磨,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,朵,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,躲,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,剁,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,妥,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,椭,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,唾,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,砣,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,惰,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,垛,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,T,堕,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,N,挼,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,N,糯,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,N,懦,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,L,骡,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,L,螺,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,L,脶,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,L,啰,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,L,裸,u,文读,
XS01,象山丹城,太湖片-甬江小片,,,戈,L,瘰,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,L,摞,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,锉,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,莝,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,矬,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,坐,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,座,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,蓑,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,梭,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,唆,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,莎,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,锁,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,琐,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,TS,唢,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,过,u,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,锅,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,戈,u,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,果,u,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,裹,u,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,餜,u,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,过,u,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,科,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,窠,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,棵,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,髁,,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,蝌,o,,
XS01,象山丹城,太湖片-甬江小片,,,戈,K,颗,o,,
